t,temp,press,vib
64,59.09552,5.48002,2.21042
65,59.78910,4.95762,2.45212
66,62.76065,5.02230,5.56109
67,45.31534,5.33125,2.23468
68,59.42834,5.07493,2.12091
69,61.83538,5.16293,2.09813
70,60.54226,5.10387,1.56005
71,58.67219,4.34571,2.71130
72,59.88545,4.91258,2.45840
73,60.13906,5.41700,5.81426
74,59.44201,5.03783,1.98448
75,59.83226,5.14911,2.09510
76,59.04529,5.07840,2.02397
77,61.16326,4.48408,1.76161
78,60.02953,5.05637,1.99540
79,59.19453,4.64770,2.36378
80,60.18878,4.34335,1.85608
81,58.59472,5.55410,1.46852
82,60.72934,4.57870,1.89988
83,60.63915,4.47481,1.87033
84,60.26849,4.81772,2.12156
85,59.46493,4.57319,2.11555
86,60.61831,4.73198,1.20123
87,58.84985,5.03815,1.79681
88,58.73676,2.15002,1.67880
89,47.21490,4.79101,1.87578
90,60.72240,7.26720,1.63964
91,58.60846,4.74017,2.06351
92,59.65006,5.07146,2.15192
93,59.77191,5.08042,1.62108
94,60.18774,5.13712,1.89201
95,59.56730,5.32676,2.27558
96,59.61805,4.59754,2.04522
97,59.14455,4.49518,1.90635
98,61.75839,4.49086,2.05835
99,58.89409,4.61917,1.88188
100,60.68322,4.66911,2.32994
101,57.83682,4.54267,2.10463
102,59.80372,4.15527,1.89566
103,59.29657,4.56183,1.32589
104,60.44484,4.61197,1.80513
105,67.89901,4.66424,1.71809
106,60.00722,4.63750,2.08708
107,60.74805,4.48602,1.78300
108,62.47134,8.07505,1.83383
109,60.93206,4.88063,1.53971
110,60.12814,4.60375,2.19821
111,58.25632,4.35733,1.72000
112,74.69000,1.82059,2.02602
113,60.09013,5.01323,2.02823
114,60.45367,5.19781,1.70327
115,58.81652,4.58727,2.36865
116,59.39609,1.21103,1.38604
117,47.86830,4.94701,1.26983
118,60.20377,5.12812,1.46923
119,60.87785,4.69258,2.08477
120,58.94180,7.86955,1.47849
121,59.96889,5.17609,1.39920
122,59.58646,4.49883,2.09550
123,59.56754,5.00151,-3.24471
124,58.20878,4.63621,1.48497
125,59.97972,4.39793,1.61247
126,60.11816,5.07502,1.87216
127,59.19737,3.11487,1.74268
128,59.54328,4.63957,1.81183
129,59.41167,4.94965,1.43682
130,58.92943,4.90054,1.55273
131,60.52030,4.96695,1.27762
132,60.73496,4.63464,1.40995
133,59.23895,4.74148,0.90468
134,48.93318,4.55251,2.44316
135,59.74387,4.76637,1.74417
136,59.08178,4.32244,1.91609
137,60.08024,4.76103,1.69499
138,59.62808,4.25100,2.65293
139,73.01072,5.29368,2.12101
140,57.64785,5.01930,1.93641
141,59.84420,5.26446,1.86204
142,59.24224,4.77077,6.54012
143,58.60630,4.74718,1.37155
144,61.66572,5.37925,5.19941
145,61.88046,4.99401,1.99505
146,59.07725,4.91781,1.29767
147,58.49755,5.11082,1.62133
148,59.19912,4.96059,1.55033
149,59.04994,4.65291,1.64230
150,57.66658,4.66320,2.23134
151,60.38769,4.76172,2.12129
152,60.46477,5.17875,1.53247
153,58.20470,4.58674,1.79421
154,70.11498,4.93243,2.36954
155,59.71631,5.29562,1.91643
156,59.89590,5.31265,1.64391
157,60.49638,5.08056,2.63046
158,60.97876,5.39260,1.68332
159,48.54238,2.96401,2.59236
160,60.67178,4.89166,2.24097
161,59.72963,4.90334,1.87427
162,60.50513,4.33641,2.05629
163,60.72380,4.96999,3.03691
164,61.03357,5.17402,2.44517
165,59.74493,4.55922,2.13631
166,58.49616,6.02650,1.84511
167,59.07233,4.81698,1.39761
168,59.86808,4.92615,2.40251
169,60.31685,4.81098,2.03421
170,59.44278,5.37957,2.23608
171,59.36209,5.13690,2.52214
172,61.76852,5.35806,1.59734
173,59.23698,8.27792,1.94555
174,61.60892,5.16086,1.96957
175,60.48867,1.87206,1.40326
176,60.97508,5.22907,1.51114
177,58.63293,5.35967,1.82425
178,58.46377,5.38323,1.76027
179,60.52684,5.09939,2.65839
180,60.03842,5.46894,2.55780
181,61.65906,5.11390,2.32799
182,60.68966,5.57303,2.57493
183,71.96796,5.23307,1.74195
184,59.01245,5.13981,2.45784
185,59.31242,5.47201,2.51727
186,59.74540,5.24369,1.20800
187,59.02940,5.63779,3.24719
188,70.36209,5.30496,2.64316
189,62.00953,5.11580,2.03880
190,59.59724,5.46932,7.75521
191,60.97623,5.20812,6.89885
192,59.53211,5.59193,2.76401
193,59.56395,5.22084,1.90348
194,61.74331,5.38522,1.84908
195,61.55683,5.63755,3.03463
196,60.92247,5.36817,1.77561
197,60.75004,5.84863,5.39656
198,61.43551,5.65763,-1.04759
199,59.60246,5.41491,2.38259
200,59.39288,5.48105,2.53076
201,60.23995,5.31652,2.78831
202,52.04188,5.20058,2.26066
203,61.37755,5.47678,2.23679
204,60.19817,5.96107,1.34258
205,60.61910,5.15287,2.11959
206,59.18027,5.13576,2.13285
207,59.31021,5.16853,1.69449
208,59.46483,4.84736,-1.08366
209,49.84857,5.24017,2.01615
210,59.27656,5.58213,2.22880
211,59.35474,5.23107,3.39003
212,59.52438,5.39321,2.30873
213,61.23612,5.13579,2.53021
214,60.16098,4.93468,2.61859
215,51.25110,5.86255,2.30091
216,61.09624,5.16346,2.49475
217,58.98326,5.20932,1.30504
218,59.17804,5.07471,2.88881
219,59.85302,5.17259,2.74296
220,51.85898,5.89568,1.83055
221,60.74812,5.10993,2.31677
222,60.84504,4.89163,1.52027
223,59.66077,4.84556,2.31311
224,59.31953,4.92401,1.85016
225,59.93008,7.82690,2.13277
226,59.92483,5.27282,-2.73975
227,60.61221,5.50504,1.85410
228,60.92118,4.92856,2.67634
229,60.86163,4.73607,2.42072
230,60.25917,5.57184,2.25010
231,61.00615,5.40184,7.19132
232,58.15380,5.20577,2.06321
233,59.63877,5.35269,1.81281
234,60.12710,4.87901,2.28978
235,59.93555,4.70271,1.90792
236,46.29429,5.05687,1.71240
237,61.95280,4.87824,1.49880
238,58.00194,5.02249,2.58873
239,59.33198,2.58302,2.07820
240,60.81935,4.84980,2.12383
241,57.82940,5.08747,1.87873
242,60.83725,5.55957,1.82925
243,58.63673,4.40626,1.85712
244,60.63705,4.77435,1.92529
245,59.26356,1.68816,1.79622
246,59.50857,4.75760,2.10970
247,61.31785,4.91981,1.86404
248,57.66798,5.15529,1.55002
249,58.97390,4.62491,2.41207
250,60.13867,4.42880,-2.86123
